period,date,actualRevenue,estimatedRevenue,revenueSurprise,actualEps,estimatedEps,epsSurprise,postEarningsMoveOneDay,expectedMovePerc,averagePostEarningsMoveOneDay
Q2 2027,2026-08-26T21:00:00.000Z,,91710240000,,,2.08,,,,0.0279
Q1 2027,2026-05-20T21:00:00.000Z,81615000000,78423370000,3191630000,1.87,1.77,0.1,-0.017720499395892066,0.050018,0.0279
Q4 2026,2026-02-25T22:00:00.000Z,68127000000,66126470000,2000530000,1.7583497053045187,1.52,0.2383,-0.05456125997136429,0.051886,0.0316
Q3 2026,2025-11-19T22:00:00.000Z,57006000000,54961119678,2044880322,1.24,1.24,0,-0.03152476946171992,0.061237,0.0391
Q2 2026,2025-08-27T21:00:00.000Z,46743000000,46048920689,694079311,0.99,1,-0.01,-0.007874449339207048,0.05605,0.0326
Q1 2026,2025-05-28T21:00:00.000Z,44062000000,43334160366,727839634,0.77,0.85,-0.08,0.032415992878866554,0.057695,0.0466
