period,date,actualRevenue,estimatedRevenue,revenueSurprise,actualEps,estimatedEps,epsSurprise,postEarningsMoveOneDay,expectedMovePerc,averagePostEarningsMoveOneDay
Q2 2026,2026-07-22T21:30:00.000Z,,24323010000,,,0.45,,,0.0873126859972084,0.0437
Q1 2026,2026-04-22T21:30:00.000Z,22387000000,22100780000,286220000,0.18,0.36,-0.18,-0.035586178421202035,0.044967,0.0437
Q4 2025,2026-01-28T22:30:00.000Z,24901000000,24776440000,124560000,0.31,0.45,-0.14,-0.03453390812589811,0.04826,0.0482
Q3 2025,2025-10-22T21:30:00.000Z,28095000000,26540367719,1554632281,0.37,0.53,-0.16,0.022803380641046086,0.057538,0.0468
Q2 2025,2025-07-23T21:30:00.000Z,22496000000,22279678348,216321652,0.27,0.39,-0.12,-0.0819701707962473,0.061216,0.0959
Q1 2025,2025-04-22T21:30:00.000Z,19335000000,21269497845,-1934497845,0.15,0.44,-0.29,0.05366222633105013,0.094315,0.1062
