period,date,actualRevenue,estimatedRevenue,revenueSurprise,actualEps,estimatedEps,epsSurprise,postEarningsMoveOneDay,expectedMovePerc,averagePostEarningsMoveOneDay
Q2 2026,2026-07-30T21:00:00.000Z,,729220100,,,0.99,,,,0.1136
Q1 2026,2026-04-30T20:30:00.000Z,663411000,607740600,55670400,1.01,0.62,0.39,0.13074780954968418,0.107367,0.1136
Q4 2025,2026-02-05T21:30:00.000Z,725607000,665931300,59675700,1.24,0.96,0.28,-0.07428003972194637,0.12407,0.0914
Q3 2025,2025-10-30T21:00:00.000Z,584911000,546650720,38260280,0.8,0.52,0.28,0.07473510955662997,0.121258,0.0861
Q2 2025,2025-07-31T21:00:00.000Z,499627000,425673939,73953061,0.45,0.2,0.25,0.17466841023725013,0.123178,0.1723
Q1 2025,2025-05-01T21:00:00.000Z,392361000,369543868,22817132,0.13,0.02,0.11,-0.041754356427308695,0.11615,0.1456
