period,date,actualRevenue,estimatedRevenue,revenueSurprise,actualEps,estimatedEps,epsSurprise,postEarningsMoveOneDay,expectedMovePerc,averagePostEarningsMoveOneDay
Q4 2026,2026-08-13T20:30:00.000Z,,8238693000,,,33.24,,,,0.0875
Q3 2026,2026-04-30T20:30:00.000Z,5950000000,4719867000,1230133000,23.03,14.11,8.92,0.08252546716400215,0.082643,0.0875
Q2 2026,2026-01-29T21:30:00.000Z,3025000000,2687583000,337417000,5.83,3.54,2.29,0.06851474133135546,0.085668,0.0789
Q1 2026,2025-11-06T21:30:00.000Z,2308000000,2152063000,155937000,0.9,0.85,0.05,0.1530646636814483,0.079077,
Q4 2025,2025-08-14T20:30:00.000Z,1901000000,1823902000,77098000,0.02,0.02,0,-0.04584404455869751,0.077395,
Q3 2025,2025-05-07T20:30:00.000Z,1695000000,1621939000,73061000,-0.6,-0.39,-0.21,0.048327137546468404,0.116068,
